FIPS,Walkability_Index,Obesity_Rate,Fast_Food_Per_1000,Log_Fast_Food
13117,6.4753086420463,37.0,0.68966341,0.5245293434183907
13119,5.562500000125,37.0,0.850919008,0.6156822768263757
13121,11.572437077825,37.0,1.132353544,0.757226319947876
13123,5.000000000125,37.0,0.656701505,0.504828580394368
13127,7.66049382733333,37.0,1.005048633,0.6956683163247129
13135,8.75186368475399,37.0,0.972813189,0.679460538827331
13137,6.51282051276923,37.0,0.651508212,0.5016889382856332
13139,6.25555555555556,37.0,0.692188919,0.5260229092064783
13141,2.97619047628571,37.0,0.588650823,0.46288511702543333
13143,5.21568627447059,37.0,0.592436552,0.46526526591223566
13145,4.40625,37.0,0.277161866,0.2446403239119629
13151,6.45238095238095,37.0,0.790335357,0.5824029525841213
13153,6.95945945936487,37.0,0.95559305,0.670693497819536
13157,5.55747126431034,37.0,0.511817753,0.4133127367624087
13159,4.66666666657143,37.0,0.483325273,0.39428637356269103
13169,4.13636363627273,37.0,0.277903229,0.24522063243111236
13177,5.19230769246154,37.0,0.496130198,0.40288190651399275
13179,5.73655913970968,37.0,1.047552586,0.7166452194433671
13185,6.81400966182609,37.0,0.955457091,0.670623972247041
13191,4.81481481477778,37.0,0.834086299,0.6065464277981013
13193,4.94871794876923,37.0,0.550660789,0.438681155568399
13195,4.8125,37.0,0.459664434,0.37820656957702
13197,4.1999999998,37.0,0.352278054,0.3017906177180017
13205,5.36274509847059,37.0,0.648088157,0.49961592338180577
13207,5.08333333342857,37.0,0.570572734,0.45144035156345386
13211,5.59259259255556,37.0,0.967610538,0.6768198816880722
13213,4.0384615385,37.0,0.674460411,0.5154909706913611
13215,7.591999999968,37.0,1.186100721,0.7821194641732339
13217,6.068627451,37.0,0.644335568,0.497336392593312
13219,6.2976190475,37.0,0.778134406,0.5755647281603953
13223,5.93478260858696,37.0,0.484543622,0.39510739976805453
13225,5.95833333325,37.0,0.966010749,0.6760064891566204
13227,5.73529411758824,37.0,0.633924007,0.4909844880123698
13231,4.875,37.0,0.418388158,0.34952112689924164
13233,5.95833333334375,37.0,0.770308137,0.5711536201346233
13243,4.78571428585714,37.0,0.598623157,0.4691427319049385
13245,7.36309523822143,37.0,0.851152301,0.6158083105954938
13247,5.85869565219565,37.0,1.022663593,0.7044152532059471
13253,4.33333333333333,37.0,0.372208446,0.31642144633514546
13255,6.5857142856,37.0,0.801020563,0.5883534836744473
13273,5.9166666661,37.0,0.586647868,0.4616235316058724
13291,5.47619047614286,37.0,0.709835172,0.536396975225417
13293,5.5079365077619,37.0,0.753948808,0.5618697076631863
13295,5.231884058,37.0,0.356552005,0.30494619001559703
13297,5.86403508768421,37.0,0.547096789,0.43638013524464264
13313,5.82629107983099,37.0,0.847482085,0.6138236769055186
13317,4.87878787872727,37.0,0.515782952,0.415932105466204
15001,5.62578616349057,25.9,0.786859453,0.5804595833920202
15003,12.1586067934387,25.9,1.046869397,0.7163115024942217
