"","GEOID10","NatWalkInd","County"
"454","13055",5.09848484827273,"Chattooga"
"455","13057",6.95098039217647,"Cherokee"
"456","13059",7.31944444447222,"Clarke"
"458","13063",9.154666666552,"Clayton"
"461","13067",8.92714285705429,"Cobb"
"462","13069",5.84567901251852,"Coffee"
"464","13073",6.91515151516364,"Columbia"
"466","13077",6.07017543873684,"Coweta"
"467","13079",4.125000000125,"Crawford"
"468","13081",6.4333333331,"Crisp"
"469","13083",5.3541666665,"Dade"
"472","13089",11.2442159383496,"DeKalb"
"476","13095",8.13526570018841,"Dougherty"
"477","13097",6.38484848496364,"Douglas"
"478","13099",4.48717948723077,"Early"
"479","13101",3.33333333333333,"Echols"
"480","13103",4.82575757563636,"Effingham"
"481","13105",5.23333333325,"Elbert"
"484","13111",5.8703703705,"Fannin"
"485","13113",6.6292517007551,"Fayette"
"486","13115",6.07738095241071,"Floyd"
"487","13117",6.4753086420463,"Forsyth"
"488","13119",5.562500000125,"Franklin"
"489","13121",11.572437077825,"Fulton"
"491","13123",5.000000000125,"Gilmer"
"492","13125",3.611111111,"Glascock"
"493","13127",7.66049382733333,"Glynn"
"498","13135",8.75186368475399,"Gwinnett"
"499","13137",6.51282051276923,"Habersham"
"500","13139",6.25555555555556,"Hall"
"501","13141",2.97619047628571,"Hancock"
"502","13143",5.21568627447059,"Haralson"
"503","13145",4.40625,"Harris"
"506","13151",6.45238095238095,"Henry"
"507","13153",6.95945945936487,"Houston"
"509","13157",5.55747126431034,"Jackson"
"510","13159",4.66666666657143,"Jasper"
"515","13169",4.13636363627273,"Jones"
"519","13177",5.19230769246154,"Lee"
"520","13179",5.73655913970968,"Liberty"
"524","13185",6.81400966182609,"Lowndes"
"527","13191",4.81481481477778,"McIntosh"
"529","13193",4.94871794876923,"Macon"
"530","13195",4.8125,"Madison"
"531","13197",4.1999999998,"Marion"
"534","13205",5.36274509847059,"Mitchell"
"535","13207",5.08333333342857,"Monroe"
"537","13211",5.59259259255556,"Morgan"
"538","13213",4.0384615385,"Murray"
"539","13215",7.591999999968,"Muscogee"
"540","13217",6.068627451,"Newton"
"541","13219",6.2976190475,"Oconee"
"543","13223",5.93478260858696,"Paulding"
"544","13225",5.95833333325,"Peach"
"545","13227",5.73529411758824,"Pickens"
"547","13231",4.875,"Pike"
"548","13233",5.95833333334375,"Polk"
"553","13243",4.78571428585714,"Randolph"
"554","13245",7.36309523822143,"Richmond"
"555","13247",5.85869565219565,"Rockdale"
"558","13253",4.33333333333333,"Seminole"
"559","13255",6.5857142856,"Spalding"
"564","13265",2.72222222233333,"Taliaferro"
"568","13273",5.9166666661,"Terrell"
"576","13289",3.708333333125,"Twiggs"
"577","13291",5.47619047614286,"Union"
"578","13293",5.5079365077619,"Upson"
"579","13295",5.231884058,"Walker"
"580","13297",5.86403508768421,"Walton"
"586","13309",3.638888889,"Wheeler"
"588","13313",5.82629107983099,"Whitfield"
"590","13317",4.87878787872727,"Wilkes"
"593","15001",5.62578616349057,"Hawaii"
"595","15003",12.1586067934387,"Honolulu"
"597","15005",4.833333333,"Kalawao"
"599","15007",6.34591194967925,"Kauai"
"601","15009",6.93434343448485,"Maui"
"603","16001",12.216962524503,"Ada"
"605","16005",7.43220338988136,"Bannock"
"608","16009",4.5666666666,"Benewah"
"610","16011",3.25,"Bingham"
"619","16027",9.79365079375,"Canyon"
"623","16035",5.85416666625,"Clearwater"
"631","16049",3.6666666666,"Idaho"
"635","16055",7.84090909083333,"Kootenai"
"636","16057",6.76881720425806,"Latah"
"638","16061",6.566666666,"Lewis"
"643","16069",4.0666666666,"Nez Perce"
"651","16083",7.43396226409434,"Twin Falls"
"654","17001",7.23770491808197,"Adams"
"657","17007",6.42592592588889,"Boone"
"663","17019",11.3499999999267,"Champaign"
"665","17023",5.8250000002,"Clark"
"667","17027",6.62365591419355,"Clinton"
"668","17029",6.93137254894118,"Coles"
"669","17031",13.6418964076815,"Cook"
"671","17033",6.41666666675,"Crawford"
"673","17037",7.30555555581667,"DeKalb"
"676","17043",10.5334954078784,"DuPage"
"677","17045",6.2916666665,"Edgar"
"682","17055",5.93089430885366,"Franklin"
"686","17063",6.70588235317647,"Grundy"
"691","17073",5.99038461540385,"Henry"
"693","17077",6.89308176084906,"Jackson"
"695","17081",5.48648648637838,"Jefferson"
"696","17083",5.39814814805556,"Jersey"
"697","17085",6.17307692311539,"Jo Daviess"
"699","17089",10.7317518249124,"Kane"
"700","17091",6.79166666672619,"Kankakee"
"701","17093",7.1068376068718,"Kendall"
"702","17095",6.2356321837931,"Knox"
"703","17097",10.2443890275935,"Lake"
"706","17101",5.81481481477778,"Lawrence"
"707","17103",5.99999999994737,"Lee"
"710","17109",5.62254901952941,"McDonough"
"711","17111",8.3302845527561,"McHenry"
"712","17113",10.7561728390833,"McLean"
"713","17115",7.01851851858586,"Macon"
"715","17119",7.38803418801026,"Madison"
"720","17129",5.32051282076923,"Menard"
"721","17131",4.69298245610526,"Mercer"
"722","17133",6.2666666668,"Monroe"
"727","17143",10.9243498818794,"Peoria"
"728","17145",5.37121212145455,"Perry"
"736","17161",7.41091954014655,"Rock Island"
"737","17163",10.8291457285226,"St. Clair"
"739","17167",10.52129629605,"Sangamon"
"744","17177",6.44897959169388,"Stephenson"
"745","17179",8.79651162805814,"Tazewell"
"747","17183",6.60353535359091,"Vermilion"
"749","17187",6.0984848485,"Warren"
"753","17195",6.59259259274603,"Whiteside"
"754","17197",9.16027280472123,"Will"
"756","17199",6.49404761903571,"Williamson"
"757","17201",7.1666666666374,"Winnebago"
"759","17203",5.84444444446667,"Woodford"
"760","18001",5.7611111113,"Adams"
"761","18003",10.0393258426966,"Allen"
"763","18005",6.52824858774576,"Bartholomew"
"764","18007",5.96969697009091,"Benton"
"766","18011",6.53603603597297,"Boone"
"770","18019",9.07432432464865,"Clark"
"771","18021",6.24691358018519,"Clay"
"775","18029",5.89215686279412,"Dearborn"
"777","18033",6.29047619054286,"DeKalb"
"778","18035",7.36633663378218,"Delaware"
"780","18039",7.324000000136,"Elkhart"
"782","18043",8.45197740133898,"Floyd"
"786","18051",6.79885057455172,"Gibson"
"787","18053",6.79938271624074,"Grant"
"789","18057",7.9380952382,"Hamilton"
"790","18059",6.60360360351351,"Hancock"
"791","18061",4.30434782617391,"Harrison"
"792","18063",6.74871794886154,"Hendricks"
"794","18067",6.9166666665,"Howard"
"797","18073",5.93333333352,"Jasper"
"801","18081",7.51801801822973,"Johnson"
"805","18089",8.15512465384488,"Lake"
"807","18091",7.23694779119277,"LaPorte"
"810","18095",7.0733944956055,"Madison"
"811","18097",11.5643459914731,"Marion"
"812","18099",5.64035087702632,"Marshall"
"815","18105",10.1017543856737,"Monroe"
"817","18109",6.07777777788889,"Morgan"
"818","18111",5.25641025653846,"Newton"
"823","18121",4.91228070184211,"Parke"
"826","18127",7.10642570298795,"Porter"
"828","18129",5.77777777795833,"Posey"
"834","18141",7.80983847280617,"St. Joseph"
"836","18145",5.938095238,"Shelby"
"840","18153",6.1166666667,"Sullivan"
"842","18157",10.851307189598,"Tippecanoe"
"843","18159",5.24509803917647,"Tipton"
"845","18163",7.70780590705063,"Vanderburgh"
"847","18165",5.85964912289474,"Vermillion"
"848","18167",10.6507092200426,"Vigo"
"849","18169",6.54545454527273,"Wabash"
"851","18173",6.44961240332558,"Warrick"
"853","18177",6.73397435894231,"Wayne"
"854","18179",5.6346153845,"Wells"
"856","18183",5.19642857182143,"Whitley"
"861","19009",4.83333333322222,"Audubon"
"863","19013",7.84653465361386,"Black Hawk"
"864","19015",7.09649122836842,"Boone"
"865","19017",6.7666666668,"Bremer"
"868","19023",5.85714285714286,"Butler"
"871","19029",6.53333333366667,"Cass"
"872","19031",6.0916666668,"Cedar"
"874","19035",6.09523809514286,"Cherokee"
"875","19037",5.41666666657143,"Chickasaw"
"877","19041",6.84259259272222,"Clay"
"878","19043",5.73684210521053,"Clayton"
"879","19045",9.2291666663125,"Clinton"
"880","19047",6.38235294082353,"Crawford"
"881","19049",7.6356589144186,"Dallas"
"882","19051",5.541666666625,"Davis"
"885","19057",11.9263565891395,"Des Moines"
"886","19059",7.2999999996,"Dickinson"
"887","19061",7.4229166668,"Dubuque"
"888","19063",6.83333333336364,"Emmet"
"889","19065",6.05303030313636,"Fayette"
"890","19067",5.95098039217647,"Floyd"
"891","19069",5.60606060590909,"Franklin"
"893","19073",5.70370370411111,"Greene"
"897","19081",5.16666666661538,"Hancock"
"898","19083",6.1333333334,"Hardin"
"899","19085",5.63095238092857,"Harrison"
"903","19093",6.21428571428571,"Ida"
"906","19099",7.0047619048,"Jasper"
"907","19101",7.076923077,"Jefferson"
"908","19103",9.33564814793056,"Johnson"
"909","19105",6.45370370372222,"Jones"
"910","19107",4.97435897430769,"Keokuk"
"912","19111",7.43137254864706,"Lee"
"913","19113",11.5875912409635,"Linn"
"914","19115",5.29166666666667,"Louisa"
"917","19121",6.19444444458333,"Madison"
